channel_title,no_of_vids,trending_date,title,category_id,publish_time,views,likes,dislikes,comment_count,comments_disabled
Yuka Kinoshita木下ゆうか,30,18.01.03,"【MUKBANG】 That's A Lot!! Pork Bowl Rice [Egg Yolk & Garlic POWER]+ Soup!! 6,4Kg 14357kcal [Use CC]",24,2018-02-28T09:00:02.000Z,509213,10486,1009,1618,False
ぷろたん日記,30,18.25.02,新居のキッチンで大盛り焼肉定食作ったら楽しすぎたww,24,2018-02-24T09:53:19.000Z,122068,2090,676,925,False
圧倒的不審者の極み!,30,18.04.03,世界で一番切れるパスタの包丁を作りたい！,28,2018-03-03T16:16:15.000Z,75388,4103,64,1769,False
Jリーグ公式チャンネル,30,18.25.02,【公式】ハイライト：ガンバ大阪vs名古屋グランパス 明治安田生命Ｊ１リーグ 第1節 2018/2/24,17,2018-02-24T12:01:01.000Z,160116,0,0,565,False
やまだちゃんねる,29,18.09.02,パス配布は不具合だった!EXレイド当選法則が修正された模様【ポケモンGO】,20,2018-02-08T10:11:52.000Z,47622,633,63,196,False
ヒカル2ndチャンネル,29,18.11.02,水辺で遊んでたら小さな卵を見つけた,24,2018-02-10T10:48:12.000Z,176148,4285,3121,1304,False
バーチャルおばあちゃんねる,29,18.11.03,バーチャルおばあちゃんの三味線放送,20,2018-03-10T16:15:08.000Z,111052,3461,285,291,False
ジョーブログ【CRAZY CHALLENGER】,29,18.20.02,【奇界遺産】世界一狂った遊園地に行ってみたらカオスすぎたw,24,2018-02-19T09:11:34.000Z,221927,3423,323,561,False
/谷やん谷崎鷹人,29,18.25.02,【大食い】カニ飯6.0㎏～カニ味噌をふんだんに使って～,24,2018-02-24T11:46:04.000Z,159573,3310,246,689,False
NPB news 2,29,18.11.02,180210(土) 松井秀喜＆王貞治「豪華OB戦」 (1.2回)【巨人ﾎｰｸｽOB戦】 ／ プロ野球 ハイライト 読売ジャイアンツ,17,2018-02-10T05:28:00.000Z,561734,3999,223,1248,False
Princess Hime Suite TVプリンセス姫スイートＴＶ,29,18.20.05,★フロア・イズ・パパ子！「床がパパ子～」★Floor is Papako Challenge★,22,2018-05-18T08:00:03.000Z,680384,0,0,1173,False
