name,value,year,lastValue,rank
CANADA,4746854,2017,157941,22
CANADA,160665,2017,3399,22
CANADA,1842393,2017,99086,22
CANADA,1294885,2017,69686,22
CANADA,146324,2017,1224,22
CANADA,40541,2017,98,22
CANADA,1574625,2017,114525,21
CANADA,17505,2017,794,21
CANADA,810533,2017,18996,21
CANADA,447641,2017,5892,21
CANADA,8053628,2017,212320,21
CANADA,25863,2017,32,21
CANADA,711652,2017,58106,21
CANADA,305317,2017,44324,21
CANADA,1014278,2017,82451,21
CANADA,24478,2017,146,21
CANADA,585791,2017,72138,21
CANADA,116209,2017,1307,21
CANADA,1685073,2017,184898,21
CANADA,522525,2017,55422,21
CANADA,84046,2017,4017,21
CANADA,191017,2017,14333,20
CANADA,2560974,2017,164570,20
CANADA,11914,2017,31,20
CANADA,977285,2017,87617,20
CANADA,469554,2017,95902,20
CANADA,18462,2017,275,20
CANADA,1448694,2017,135017,20
CANADA,154147,2017,1155,20
CANADA,37121,2017,1482,20
CANADA,390398,2017,26594,20
CANADA,57795,2017,2173,20
CANADA,63608,2017,1249,20
CANADA,548977,2017,36439,19
CANADA,6007,2017,178,19
CANADA,684046,2017,29596,19
CANADA,3483755,2017,789764,19
CANADA,10309281,2017,35287,19
CANADA,38988,2017,2054,19
CANADA,172508,2017,983,19
CANADA,147800,2017,3895,19
CANADA,315626,2017,24798,19
CANADA,1297631,2017,67062,19
CANADA,1013926,2017,43638,19
CANADA,412149,2017,32897,19
CANADA,917612,2017,67418,19
CANADA,643350,2017,33747,19
CANADA,25884,2017,1353,19
CANADA,282208,2017,9787,18
CANADA,40959,2017,285,18
CANADA,145026,2017,1139,18
CANADA,167460,2017,1055,18
CANADA,165012,2017,9659,18
CANADA,41065,2017,408,18
CANADA,348841,2017,27089,18
CANADA,497253,2017,20214,18
CANADA,224857,2017,26206,18
CANADA,43090,2017,40,18
CANADA,98540,2017,2052,18
CANADA,408516,2017,44644,18
CANADA,322736,2017,25226,18
CANADA,148843,2017,1706,18
CANADA,226965,2017,12828,18
CANADA,80068,2017,2481,18
CANADA,808376,2017,45265,18
CANADA,56055,2017,3727,18
CANADA,246591,2017,6281,18
CANADA,695257,2017,70217,18
CANADA,1158594,2017,25081,18
CANADA,373102,2017,32827,18
CANADA,72657,2017,3360,17
CANADA,1807655,2017,7725,17
CANADA,47480,2017,370,17
CANADA,1192687,2017,4439,17
CANADA,218876,2017,3349,17
CANADA,355773,2017,18468,17
CANADA,601776,2017,6444,17
CANADA,137213,2017,648,17
CANADA,35089,2017,2695,17
CANADA,15159,2017,1870,17
CANADA,558307,2017,44085,17
CANADA,193583,2017,20156,17
CANADA,351181,2017,2206,17
CANADA,189211,2017,4552,17
