,channel_title,no_of_vids,trending_date,title,category_id,publish_time,views,likes,dislikes,comment_count,comments_disabled,Unnamed: 0,Category_name
510,The Sims,20,18.26.05,The Sims 4 Seasons: Official Reveal Trailer,20,2018-05-24T16:59:24.000Z,875878,60686,715,13595,False,7,Gaming
511,AzealiaBanksVEVO,20,18.26.05,Azealia Banks - Anna Wintour,10,2018-05-24T15:59:22.000Z,774948,55083,5804,10438,False,2,Music
512,MLB,20,17.23.12,TB@DET: Enberg on the origins of his 'oh my' call,17,2016-05-21T23:30:46.000Z,5506,12,0,3,False,4,Sports
513,BeckyGVEVO,20,18.21.04,"Becky G, Natti Natasha - Sin Pijama (Official Video)",10,2018-04-20T10:40:51.000Z,6978753,351687,25332,23914,False,2,Music
514,Jake Paul,20,18.26.05,Jake Paul - Randy Savage (FT. Team 10 + Jitt & Quan) Prod. By MORTEN,22,2018-05-24T23:17:52.000Z,2974188,126093,83954,43019,False,9,People & Blogs
515,PressTube,20,18.17.04,Casting Mirror Polished Japanese Foil Ball from Molten Aluminium,28,2018-04-14T23:30:28.000Z,3953902,75162,5146,5195,False,15,Science & Technology
516,MustardVEVO,20,18.26.05,"Mustard, Nick Jonas - Anywhere",10,2018-05-22T12:00:02.000Z,457170,23267,325,632,False,2,Music
517,Denitslava Makeup,20,18.30.03,Recreating The Look | Dramatic Blue smokey Eye Makeup Tutorial,26,2018-03-27T16:47:21.000Z,173611,13087,154,1125,False,13,Howto & Style
518,Tested,20,17.14.11,The Making of Hela's Headdress from Thor: Ragnarok,28,2017-11-12T15:00:01.000Z,224019,3585,138,208,False,15,Science & Technology
519,NickyJamTV,20,18.26.05,Live It Up - Nicky Jam feat. Will Smith & Era Istrefi (2018 FIFA World Cup Russia) (Official Audio),10,2018-05-25T04:00:21.000Z,4673846,120936,22319,18984,False,2,Music
520,KhalidVEVO,20,17.15.12,Khalid - Saved (Official Video),10,2017-12-14T15:00:01.000Z,405193,41255,343,2819,False,2,Music
521,ChvrchesVEVO,20,18.02.02,CHVRCHES - Get Out (Preview),10,2018-01-31T19:35:00.000Z,214788,7439,267,744,False,2,Music
522,TV Promos,20,17.15.11,American Crime Story Season 2: The Assassination of Gianni Versace Trailer (HD),24,2017-11-15T01:25:18.000Z,14565,478,13,67,False,11,Entertainment
523,BURGER KING,20,18.25.01,Burger King | Whopper Neutrality,24,2018-01-24T14:08:29.000Z,914385,45709,3246,6945,False,11,Entertainment
524,My Virgin Kitchen,20,18.09.02,Clear Lemon Meringue Pie,26,2018-02-07T16:06:43.000Z,66798,3043,70,443,False,13,Howto & Style
525,Tanya Burr,20,17.06.12,Decorating Our Christmas Tree & Princess Dress | Vlogmas Days 3 & 4,26,2017-12-05T15:30:02.000Z,141529,5659,142,234,False,13,Howto & Style
526,MigosVEVO,20,17.09.12,"Migos, Nicki Minaj, Cardi B - MotorSport",10,2017-12-08T02:12:48.000Z,4514272,238395,9020,35027,False,2,Music
527,Jess Glynne,20,18.07.05,Jess Glynne - I'll Be There [Official Video],10,2018-05-04T09:30:15.000Z,678094,25958,220,1197,False,2,Music
528,DidYouKnowGaming?,20,18.26.05,The History of Fortnite Battle Royale - Did You Know Gaming? Feat. Remix,20,2018-05-24T19:00:24.000Z,204053,6092,1005,1033,False,7,Gaming
529,keshaVEVO,20,18.23.02,Kesha - We R Who We R (Live from Honda Stage at Hollywood Palladium),10,2018-02-22T08:00:00.000Z,66928,5468,227,482,False,2,Music
530,Philip DeFranco,20,17.23.11,"The Internet Is UNDER ATTACK, Net Neutrality is Dying, and What You Can Do...",24,2017-11-21T22:17:28.000Z,1501756,78351,1897,15495,False,11,Entertainment
531,Tia Mowry's Quick Fix,20,18.13.01,Tia Mowry's Gender Reveal  | Quick Fix,22,2018-01-12T15:00:01.000Z,515830,25836,431,3760,False,9,People & Blogs
532,NiallHoranVEVO,19,17.14.11,Niall Horan - Too Much To Ask (Acoustic),10,2017-11-10T17:00:05.000Z,419341,53572,168,3083,False,2,Music
533,Rudimental,19,18.23.01,"Rudimental - These Days (ft. Jess Glynne, Macklemore & Dan Caplen)(Official Audio)",10,2018-01-19T09:01:04.000Z,398224,17712,193,439,False,2,Music
534,fosterthepeopleVEVO,19,17.14.11,Foster The People - Sit Next to Me (Official Video),10,2017-11-10T17:00:05.000Z,303956,18603,585,1745,False,2,Music
535,Dobre Brothers,19,18.22.04,IS IT REAL OR IS IT CHOCOLATE?!,22,2018-04-20T20:51:42.000Z,1400683,36483,9049,8087,False,9,People & Blogs
536,Kylie Cosmetics,19,17.30.11,"Never Have I Ever with Kylie, Jordyn and Victoria",22,2017-11-29T23:50:14.000Z,352037,24652,630,1179,False,9,People & Blogs
537,Buttered Side Down,19,17.22.11,Gaining Super Powers,23,2017-11-21T18:00:06.000Z,34719,2280,40,192,False,10,Comedy
538,UFC - Ultimate Fighting Championship,19,18.20.01,UFC 220: Official Weigh-in,17,2018-01-19T23:31:46.000Z,304149,3508,127,1223,False,4,Sports
539,Ingrid Nilsen,19,17.26.11,4 Ways to Style a Black Bodysuit | Ingrid Nilsen,26,2017-11-25T20:30:00.000Z,44330,2142,263,289,False,13,Howto & Style
540,Lucas,19,18.07.01,DAD TEACHES GAY SON HOW TO SHOOT *emotional*,23,2018-01-06T18:49:36.000Z,41272,4377,440,640,False,10,Comedy
541,Prince,19,18.20.04,Prince - Nothing Compares 2 U [OFFICIAL VIDEO],10,2018-04-19T15:01:43.000Z,866303,19181,491,2238,False,2,Music
542,CalebCity,19,18.29.03,The first plant to become a venus fly trap,23,2018-03-28T01:00:53.000Z,623512,46612,691,2691,False,10,Comedy
543,Colleen Vlogs,19,17.22.11,THE END! :(,23,2017-11-21T06:49:17.000Z,115921,7577,160,1026,False,10,Comedy
