name,value,year,lastValue,rank
IBM,59031,2008,58836.9,2
Amazon,59012.8,2016.6,57567,5
Microsoft,59007,2008,58977.2,3
Microsoft,58977.2,2007.9,58947.4,2
Microsoft,58963.6,2011.1,59087,3
Microsoft,58947.4,2007.8,58917.6,2
Microsoft,58917.6,2007.7,58887.8,2
Microsoft,58887.8,2007.6,58858,2
Microsoft,58868.8,2012.6,58699.5,5
Microsoft,58858,2007.5,58828.2,2
Microsoft,58840.2,2011.2,58963.6,3
IBM,58836.9,2007.9,58642.8,3
Microsoft,58828.2,2007.4,58798.4,2
Microsoft,58798.4,2007.3,58768.6,2
Samsung,58797.7,2017.7,58433.6,6
IBM,58797.5,2015.5,60057,5
Microsoft,58771,2008.1,59007,3
Microsoft,58771,2009.5,58346.2,3
Microsoft,58768.6,2007.2,58738.8,2
Microsoft,58738.8,2007.1,58709,2
Microsoft,58735,2005.4,59036.5,2
Microsoft,58716.8,2011.3,58840.2,4
Microsoft,58709,2007,58530.7,2
Microsoft,58699.5,2012.5,58530.2,5
IBM,58642.8,2007.8,58448.7,3
Microsoft,58593.4,2011.4,58716.8,4
Microsoft,58535,2008.2,58771,3
Microsoft,58530.7,2006.9,58352.4,2
Microsoft,58530.2,2012.4,58360.9,5
Microsoft,58470,2011.5,58593.4,4
IBM,58448.7,2007.7,58254.6,3
Samsung,58433.6,2017.6,58069.5,6
Microsoft,58433.5,2005.5,58735,2
Microsoft,58360.9,2012.3,58191.6,5
Microsoft,58352.4,2006.8,58174.1,2
Microsoft,58346.6,2011.6,58470,5
Microsoft,58346.2,2009.4,57921.4,3
Microsoft,58299,2008.3,58535,3
IBM,58254.6,2007.6,58060.5,3
Microsoft,58223.2,2011.7,58346.6,5
Google,58198.8,2011.2,56757.9,4
Microsoft,58191.6,2012.2,58022.3,5
Microsoft,58174.1,2006.7,57995.8,2
Microsoft,58132,2005.6,58433.5,2
Microsoft,58099.8,2011.8,58223.2,5
Samsung,58069.5,2017.5,57705.4,6
Microsoft,58063,2008.4,58299,3
IBM,58060.5,2007.5,57866.4,3
Microsoft,58022.3,2012.1,57853,5
Microsoft,57995.8,2006.6,57817.5,2
Microsoft,57976.4,2011.9,58099.8,5
Microsoft,57921.4,2009.3,57496.6,3
